Index,Result,Crab,Hunter,Recall,Recall Hunter,Scorpion,Beetle,Blink,Blink Hunter,Gunbot,Missilebot,Wasp,Hornet,Knight,Crossbow,Ballista,King Crab,Crusader,Bomber,Shocker,Recall Shocker,Mortar,Swift Shocker,Heavy Hunter,Destroyer,Raider,Turret,Heavy Ballista,Predator,Sniper,Advanced Blink,Assaultbot,Behemoth,Gargantua,Butterfly,Dragonfly,Falcon,Airship,Advanced Recall,Mammoth,Stinger,Flak Turret,Bulwark,Katbus,Locust,Kraken,Valkyrie,Artillery,Advancedbot,Advanced Destroyer,Skill,
30,-5862.50,0,0,0,0,-113,2,0,26,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8381.38,
31,10212.50,64,0,0,0,0,0,0,35,-1,0,0,0,0,-7,0,0,0,0,0,-1,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5554.48,
32,14587.50,0,0,0,0,0,0,0,0,-12,-42,0,0,0,1,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,3517.97,
33,8812.50,0,0,0,0,0,-35,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,19,0,25,0,-2865.34,
34,-9362.50,0,0,-31,0,0,0,0,0,-37,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,1650.96,
35,8375.00,0,0,-17,0,0,0,0,0,66,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-9817.20,
36,-10500.00,0,0,18,0,-1,0,0,0,0,0,83,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,0,0,0,0,10,-1,0,0,0,-1,0,0,0,0,-9625.49,
37,-3062.50,0,0,66,0,0,0,0,0,0,0,0,-37,16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3094.91,
38,6600.00,0,-2,0,-86,0,0,0,56,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.92,
39,2887.50,0,0,5,-40,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11371.57,
40,12787.50,0,0,0,-1,0,0,0,0,-11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2882.64,
41,7812.50,0,-35,0,0,0,6,0,0,-41,0,6,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,4,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1559.65,
42,1400.00,0,0,60,-11,0,0,-47,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3853.33,
43,1950.00,0,0,0,0,37,33,0,0,0,0,0,0,-2,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7569.26,
44,-9800.00,0,0,0,-7,0,4,0,-47,0,34,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1518.01,
45,4112.50,0,0,-16,0,71,-33,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3468.18,
46,-6025.00,0,19,0,0,0,0,0,-1,-68,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1354.61,
47,1675.00,0,0,0,6,0,0,0,0,26,-7,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4250.60,
48,-11300.00,0,0,1,0,110,0,0,0,-34,0,0,0,-12,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,0,0,5,0,0,0,0,0,0,0,0,6124.26,
49,-2350.00,0,0,10,0,0,0,-59,0,1,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,5760.56,
50,-1712.50,0,0,-23,0,0,0,0,-36,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12770.44,
51,700.00,20,0,-13,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3925.65,
52,-6275.00,0,0,0,-2,0,0,51,0,53,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-7,1,0,0,0,0,5,-1,0,0,0,-1,0,0,0,-5551.42,
53,5450.00,0,-33,0,0,93,0,-66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11683.11,
54,-875.00,-11,0,0,0,0,0,0,5,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440.30,
55,10037.50,0,0,-1,0,0,72,-99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3260.38,
56,-2712.50,6,0,0,0,0,-12,0,0,-35,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2883.02,
57,-8750.00,0,0,0,0,0,0,-10,0,142,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,-88.81,
58,1350.00,-79,0,0,0,0,0,3,0,0,0,99,0,-10,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-189.02,
59,-1512.50,0,0,3,0,0,-43,0,0,-29,0,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11695.90,
60,-9450.00,0,-1,0,0,0,-20,0,0,47,0,0,76,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,2663.66,
61,-137.50,3,0,0,0,0,0,0,0,0,11,0,-11,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11011.03,
62,-875.00,0,0,0,0,0,0,0,6,0,0,-64,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,-4,0,0,0,0,0,0,0,0,0,0,489.94,
63,-575.00,0,0,0,-2,0,0,-3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248.40,
64,8112.50,0,-61,0,27,-77,0,0,0,0,0,19,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3387.34,
65,-4100.00,7,0,0,0,0,-14,0,0,0,0,35,0,0,-7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,-2,-5,1,1,0,0,0,0,10098.60,
66,-10487.50,0,0,0,0,0,0,-69,22,0,3,0,-13,0,0,0,-5,-1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.24,
67,-3675.00,0,0,0,-42,0,29,8,0,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1948.12,
68,-5750.00,0,0,0,0,-122,0,1,0,0,0,0,0,39,-18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6275.56,
69,3225.00,0,0,0,0,-58,0,0,0,0,0,173,0,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-3410.47,
70,-3062.50,0,0,0,0,0,0,-23,0,0,0,0,18,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1903.53,
71,6000.00,0,0,0,0,111,0,0,0,0,-18,88,0,-2,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1598.79,
72,-11075.00,0,0,0,0,0,0,0,87,24,0,0,0,0,-14,-14,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931.32,
73,1100.00,0,-7,0,25,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11847.08,
74,-2262.50,-1,0,0,0,0,54,0,0,-85,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,0,0,0,0,0,0,0,0,0,-6489.10,
75,-737.50,0,0,0,0,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-884.73,
76,-8275.00,0,0,0,0,115,13,0,0,0,0,0,-14,-16,0,-16,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1753.02,
77,-3412.50,0,0,-10,5,0,0,0,0,0,39,-162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2268.90,
78,5150.00,-3,0,0,0,20,57,0,0,0,0,0,0,0,-2,0,0,0,0,0,-14,-14,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7796.94,
79,-5937.50,0,0,-32,0,0,0,0,0,53,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,7,0,0,-13,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3671.14,
80,4600.00,0,0,0,-17,0,0,0,1,0,0,0,0,-41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,23,0,0,0,0,0,-220.58,
81,2225.00,0,-41,0,0,0,0,-3,0,0,0,0,8,0,4,4,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,140,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1163.16,
82,2437.50,0,0,0,0,0,0,50,0,0,10,-59,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.31,
83,-5450.00,0,0,68,0,0,0,0,0,-164,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479.51,
84,-2700.00,0,0,15,23,0,0,0,0,0,0,-173,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592.51,
85,3500.00,0,0,1,0,0,39,0,0,0,0,-55,-7,0,0,-6,0,0,0,0,0,0,0,0,0,0,-2,0,0,-16,0,0,0,0,0,0,0,6,0,8,0,0,1,0,0,0,0,0,0,0,4981.24,
86,3300.00,0,0,0,0,0,0,33,0,-28,0,36,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7538.50,
87,3800.00,0,0,0,0,22,0,0,0,0,0,0,-17,15,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.24,
88,-7975.00,0,0,0,0,0,14,0,-61,98,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5987.31,
89,6100.00,88,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,4262.73,
90,4812.50,-57,0,-29,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1044.66,
91,-10200.00,0,-58,70,-14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8850.18,
92,8700.00,0,0,23,0,0,0,20,-6,0,0,0,-61,0,0,0,3,0,-27,0,0,0,1,0,-1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5650.57,
93,6537.50,0,-19,0,0,42,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-19,0,0,0,-3,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5755.68,
94,-7837.50,-42,0,0,-57,0,0,0,61,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4763.59,
95,1000.00,0,0,0,-5,-35,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,3418.56,
96,1500.00,8,0,-27,0,0,-9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10370.78,
97,-3337.50,0,0,0,13,0,0,0,0,0,-17,0,19,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4417.86,
98,-2950.00,0,1,0,0,-48,0,0,0,-12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5864.33,
99,6025.00,0,14,0,1,0,0,0,-15,0,0,0,0,-22,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,3760.86,
100,-8437.50,0,0,0,27,0,14,-81,0,0,-18,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4768.83,
101,-7425.00,0,0,0,-57,0,1,0,-42,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,-186.14,
102,5937.50,-1,0,0,0,0,0,0,0,0,27,144,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6463.74,
103,8600.00,0,0,0,-4,0,0,0,0,0,0,-101,22,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,-5973.67,
104,7050.00,0,0,0,41,41,0,-54,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2948.96,
105,5200.00,0,18,42,0,0,-16,-4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,-1,-1,0,0,0,0,7,0,0,-5,-9,0,0,0,0,0,0,0,0,-4,0,0,5710.88,
106,712.50,0,-42,0,0,152,0,23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5360.76,
107,-2600.00,0,0,0,0,-31,0,0,13,0,0,0,-12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407.64,
108,5787.50,0,0,0,0,0,33,0,0,-197,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5088.14,
109,300.00,0,0,3,0,-1,0,0,0,0,-4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.28,
110,4900.00,0,0,0,0,46,0,0,0,34,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949.79,
111,4600.00,0,-38,39,0,30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11783.44,
112,-2900.00,0,0,-36,0,0,0,0,0,0,0,-4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7985.72,
113,6900.00,0,0,0,0,0,16,0,0,0,-77,0,0,-3,15,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1254.69,
114,3825.00,0,0,27,0,0,-1,0,0,0,0,126,0,-1,0,0,0,0,8,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.71,
115,-1800.00,0,0,50,0,-52,0,0,0,-84,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5062.09,
116,3487.50,0,9,0,0,0,0,0,0,0,8,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,3,0,0,-21,0,0,-1,22,21,-3600.43,
